name,latitude,longitude,cuisine
Pizza Hut,49.9043448,-97.1553397,pizza
Freshii,49.9385007,-97.0937085,salad
Sushi Daruma,49.9389888,-97.0934635,sushi
Dim Sum Garden,49.9318895,-97.0996742,chinese
Shahi Flames,49.8813397,-97.1191448,indian
Chicago Joe's,49.9009779,-97.2114593,
Nobside Cafe,49.7655897,-97.1532342,breakfast;lunch;diner
Friend Bakery & Pizza,49.8704708,-97.1384525,pizza
Pho Hoang,49.894972,-97.1405987,
Urban Crave,49.9059927,-97.221963,
Stella's,49.9057837,-97.2239539,
Root 98,49.9054958,-97.223195,
Smitty's,49.9514039,-97.1454787,pancake
Koya Japan,49.9503587,-97.1454283,japanese
Kimchi Korean Delight,49.950583,-97.1455624,korean
Mr. Souvlaki,49.9503782,-97.1454998,greek
Bodegoes,49.8908769,-97.1429881,mexican;noodle;mediterranean
Leopold's Tavern,49.9004952,-97.0260759,
Wild Wing,49.7979365,-97.1581046,chicken
Sugar Marmalade,49.7980084,-97.1581085,asian
Santa Lucia,49.7984916,-97.1580221,pizza
Little Pizza Heaven,49.8009269,-97.1575539,pizza
Les Saj,49.7983349,-97.1580488,
Nicolino's,49.81552,-97.1532121,italian
Sun Fortune,49.815389,-97.1532283,chinese
Gondola,49.7897136,-97.1583145,pizza
Hey! I Am Yogost,49.7951461,-97.1581662,
Kazuku,49.798674,-97.1579664,japanese
Fast Fired,49.7886838,-97.1567269,pizza
Eat On Samosa,49.7905037,-97.1568152,
Swan Pizza,49.832531,-97.1501609,pizza
Shawarma Castle,49.8539711,-97.1121707,middle_eastern;shawarma
Spice Circle East Indian Restaurant,49.8781029,-97.2292326,indian
Shirley's,49.8779645,-97.1456136,
Baby Baby,49.8778902,-97.1455412,
Oven Delight,49.9012413,-97.0840358,indian;pizza
Salisbury House,49.8576671,-97.1524252,diner;canadian
Salisbury House,49.9417956,-97.0887844,diner; canadian
Salisbury House,49.8402168,-97.0661357,diner; canadian
Gaijin Izakaya,49.8988973,-97.0659543,japanese
Shawarma Blady,49.8338314,-97.1135072,middle_eastern;shawarma
Punjab Food Corner,49.833983,-97.113447,indian
Blady Middle Eastern,49.8341183,-97.1133669,
Copper Chimney,49.8837511,-97.2035041,indian
Izumi Sushi,49.8953298,-97.0595673,sushi
Santa Lucia Pizza,49.8340602,-97.0462288,pizza
Taste of Mediterranean,49.8906282,-97.1479446,
Cilantro's,49.8836109,-97.1801945,indian
Emparepas Treats,49.8961215,-97.1404318,
2 Broke Girls,49.8864188,-97.136047,diner
Flying Pizza,49.9499565,-97.169244,pizza
Juneberry,49.8668779,-97.110477,
Marigold Restaurant,49.8686106,-97.1105652,chinese
Vanxai's Restaurant,49.8616489,-97.108592,asian
Habibiz Café,49.8824405,-97.1907999,middle_eastern
Waange Coffee & Restaurant,49.8860043,-97.1687466,african
Shaba Thai Cuisine,49.8895996,-97.1554598,thai
Jollof Life Restaurant,49.8890404,-97.1558375,african
Sushi One,49.8819266,-97.3171165,sushi;korean
Szeto's Chinese Food,49.8937335,-97.0057084,chinese
Skyr,49.887382,-97.1315147,icelandic
Smitty's,49.8811384,-97.2925427,pancake
Unnamed Restaurant,49.878751,-97.2262581,
Shawarma Delight,49.8789346,-97.2156383,shawarma
The Saint Restaurant & Pub,49.8789386,-97.2148181,
Silver Heights Restaurant,49.8770279,-97.2388284,
Dragon Palace,49.879817,-97.2822543,chinese
Tokyo Sushi,49.8804862,-97.2867087,sushi
Busan Korea BBQ,49.8341458,-97.1506861,korean
Nola,49.8812226,-97.1232022,american
Tundra Grill,49.8733955,-97.2396363,american
Gather Craft Kitchen & Bar,49.8693658,-97.2243248,
Tom Yum,49.9040316,-97.1555777,thai
Cafe 22,49.886975,-97.1416043,pizza;italian
Ivory Restaurant,49.8890306,-97.1407018,indian
Boujee,49.890853,-97.135272,international
Santa Lucia Pizza,49.8808892,-97.1283879,mediterranean
Asia City,49.8206436,-97.1535312,asian
Boston Pizza,49.8233728,-97.2041289,pizza
Smitty's,49.8251195,-97.2031799,pancake
Boston Pizza,49.7942217,-97.1580345,pizza
Pony Corral Pier 7,49.8284125,-97.1508214,regional
Tony Roma's,49.8351438,-97.1498522,barbecue
Brazen Hall Kitchen and Brewery,49.8572935,-97.1509518,
Perkins,49.8999853,-97.0691791,american
Moxies,49.898968,-97.0698298,
Applebee's,49.8584822,-97.165839,american
Joey,49.825434,-97.2062879,regional
Moxie's,49.8245259,-97.2060811,bar_and_grill
China Garden,49.7931629,-97.156827,chinese
Salisbury House,49.9519262,-97.1414863,diner; canadian
Montana's,49.8865047,-97.1946223,barbecue
Earls,49.8815754,-97.1970606,american
Red Top Restaurant,49.875418,-97.1177283,
Ming Court,49.8907466,-97.146667,chinese
The Keg,49.8890339,-97.1376403,steak_house
La Roca,49.8897574,-97.1396055,mexican
Junior's,49.889275,-97.1549486,burger
Yen's Kitchen + Bar,49.8804107,-97.1592885,
Wasabi on Broadway,49.8853255,-97.1538638,sushi;japanese
Next Door,49.8821995,-97.1598774,regional;coffee_shop
Shorty's Pizza,49.8804795,-97.1607507,pizza
Montana's,49.8279339,-97.1140453,barbecue
Ray & Jerry's,49.8829437,-97.1925817,steak_house
Tony Roma's,49.8823619,-97.2019511,barbecue
Ye's Buffet,49.8808802,-97.2021285,asian
Joey,49.8816023,-97.2012272,regional
The Keg,49.8228207,-97.1950172,steak_house
Boston Pizza,49.8840464,-97.202076,pizza
The Original Pancake House,49.8822019,-97.1954659,pancake
Olive Garden,49.8798657,-97.201439,italian
Red Lobster,49.8799823,-97.2009646,seafood
Boston Pizza,49.8532777,-97.1662228,pizza
Gondola Pizza,49.8417221,-97.1530216,pizza
New Golden Inn,49.849057,-97.1523658,chinese
Baraka Pita Bakery & Mediterranean Deli,49.9370744,-97.1168298,mediterranean
KFC / Taco Bell,49.8146203,-97.1524935,
Falafel Place & Deli,49.8662388,-97.167688,middle_eastern
Fusion Wok Express,49.885692,-97.1700694,asian
Bailey's,49.8965807,-97.1378049,burger;american;steak_house
Kum Koon Garden,49.9025118,-97.1372284,chinese
Dim Sum Garden,49.9021972,-97.1373077,chinese
Ground Roots Café,49.7575122,-97.1530168,
Stella's on Pembina,49.8361671,-97.1512048,cafe;bakery
The Nook Diner,49.8801357,-97.15939,diner
Great World Chinese Restaurant,49.8790911,-97.2118876,chinese
Yafa Café,49.8790314,-97.2121317,arab;middle_eastern
Tommy's Pizzeria,49.8693391,-97.1572208,pizza
Peking Chinese Food,49.8694318,-97.1568444,chinese
Hambo’s Restaurant & Deli,49.911006,-97.1883115,diner
Emerald Palace,49.8963813,-97.1636922,chinese
Earls,49.8287667,-97.1140456,american
Boston Pizza,49.8396768,-97.0941258,pizza
Carlos & Murphy's,49.8780581,-97.1459382,mexican
Segovia,49.8772543,-97.1454811,tapas
Nuburger,49.8773687,-97.1453496,
Naru Sushi,49.8772195,-97.1444771,sushi
The Keg,49.8756165,-97.2621112,steak_house
Pizza Hut,49.8555032,-97.0777257,pizza
Promenade Bistro,49.8910915,-97.1243803,
La Belle Baguette,49.8899016,-97.1177998,
Chicken Chef,49.8809012,-97.3198736,chicken
D Jay's Restaurant,49.881928,-97.2974601,
Salisbury House,49.8825114,-97.2952812,diner; canadian
Ken's Restaurant,49.894825,-97.1460387,chinese
Gallery Tap House and Grill,49.8752538,-97.1064263,
Chicken Delight,49.9391605,-97.1597301,chicken
Scoop's Ice Cream and Burgers,49.957139,-97.0952267,
Boston Pizza,49.8755308,-97.2588334,pizza
Salisbury House,49.8547605,-97.1030518,diner; canadian
Original Joe's,49.8827491,-97.3145066,bar_and_grill
India Palace Express,49.8802994,-97.2858216,indian
Cork & Flame,49.8801036,-97.2846808,
Smitty's,49.8254663,-97.1111037,pancake
Marion Hotel,49.8822243,-97.1089856,coffee_shop;brunch
Tipsy Cow,49.8943004,-97.1427697,
Homer's,49.892658,-97.1552186,greek
Unnamed Restaurant,49.8934165,-97.1120446,
Super Boys,49.9282844,-97.1240503,burger
Gangnam Sushi,49.9127142,-97.1363048,sushi
Oxbow,49.8648332,-97.1344988,
Junior's,49.8524276,-97.1115528,burger
Salisbury House,49.8942569,-97.2143613,
Next Stop Café,49.8704762,-97.1448917,coffee_shop;persian
Salisbury House,49.9289792,-97.1228622,
BMC Market,49.8616691,-97.1313174,mexican
Vera Pizzeria,49.8626467,-97.1321373,pizza
Monticchio Ristorante Italiano,49.8625492,-97.1320621,italian
Marigold,49.8617984,-97.1313734,chinese
Maxime's Restaurant & Lounge,49.8332781,-97.1138247,
George's Burgers & Subs,49.8326328,-97.1141986,burger;sandwich
Boston Pizza,49.9468029,-97.0842781,pizza
Pho Que Huong,49.8928876,-97.1627933,vietnamese
InFerno's Bistro,49.8821561,-97.1106545,french
Unnamed Restaurant,49.8931503,-97.1987415,
Jas Indian Cuisine,49.8336053,-97.113744,indian
The North Star Drive-In,49.9285723,-97.1397843,fast_food
Magic Thailand,49.9101487,-97.1599796,thai
Marigold,49.9413853,-97.1655785,chinese
Smitty's,49.8947224,-97.1999587,pancake
Perkins,49.9495108,-97.152203,american
Fionn MacCool’s Irish Pub,49.8580415,-97.1674719,
Montana's,49.841133,-97.2157259,barbecue
Mr. Mike's,49.8214994,-97.1988401,steak_house
Arabian Dreams,49.8706605,-97.1546105,
Colosseo Ristorante Italiano,49.871545,-97.1503994,italian
Frankie's Italian Kitchen,49.8432259,-97.2112226,italian
The Rec Room,49.8419185,-97.220414,
Phuong Nam,49.9074354,-97.1650696,vietnamese
Petit Socco,49.8702342,-97.1628894,
Saffron's,49.8717568,-97.1513164,
A+ Sushi,49.8724376,-97.1492062,sushi
Sunshine Chinese Restaurant,49.8723409,-97.1493476,chinese
Beaurivage Bistro,49.8723586,-97.1495258,lebanese
Market Burger,49.8722276,-97.1497184,burger
Cafe Carlo,49.869897,-97.1570906,italian
Santa Lucia Pizza,49.8689572,-97.1596615,italian
Kristina's on Corydon,49.8708567,-97.1540275,greek
529 Wellington,49.8766022,-97.1611618,steak_house
Shooter's Restaurant,49.9618527,-97.0843771,burger;american
Unnamed Restaurant,49.9295599,-97.1017691,
Unnamed Restaurant,49.9034212,-97.1374847,chinese
Burrito Splendido,49.9080874,-97.2050986,mexican
Pho No. 1,49.9004593,-97.1504416,vietnamese;chinese
Barbeque Hut,49.8986728,-97.1498373,
Smitty's,49.8955574,-97.0559515,pancake
King Cob Market Pub,49.8927474,-97.1583116,
WanaBees Diner,49.8858547,-97.1566689,american
Bonnie Day,49.881552,-97.1726075,coffee_shop;bistro;wine;beer
Rimyya Friendship Bar and Restaurant,49.8930181,-97.1555706,african
India Palace,49.8930233,-97.1666915,indian
Pho Kim Tuong,49.8931306,-97.1708996,vietnamese
Chaise Café & Lounge,49.8935416,-97.1178475,
Belle's Kitchen and Music Hall,49.8985948,-97.0732881,
Cilantro's,49.9200618,-97.0819261,indian;chinese;hakka
P.F. Chang's,49.8893269,-97.1989039,asian
Oriental Pearl,49.8821573,-97.108232,chinese
Vi-Ann Restaurant,49.9054256,-97.172577,
Spring Roll Restaurant,49.9072305,-97.1780635,chinese
New Hong Kong,49.8981237,-97.148246,chinese
Cheers Restaurant,49.9045737,-97.1426857,burger
Double Greeting Chinese Snack House,49.8987589,-97.1451315,chinese
Pho Cuu Long Restaurant,49.8540183,-97.1114996,vietnamese
The Original Pancake House,49.8191987,-97.2055731,breakfast;pancake
Tropikis,49.8932308,-97.1722663,caribbean
Fishball King,49.9198802,-97.1558839,
Kalan Restaurant,49.9208808,-97.1550899,filipino
New Diamond Chinese Food,49.9267416,-97.1512447,chinese
Pad Thai,49.8770817,-97.2682297,thai
Dreamland Diner,49.8768559,-97.267282,diner
Spice Enroute,49.9692157,-97.1318414,indian
Olympia Diner,49.8818535,-97.2922315,diner
Banh Mi King,49.8897043,-97.1533339,vietnamese
